"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2022,281,256,25,0,0,0,0,96,50,37,0,0,224,57,0
"Alabama","Clay",2022,115,104,11,0,0,0,0,64,50,26,0,0,0,115,0
"Alabama","DeKalb",2022,364,341,23,0,0,0,0,97,48,37,0,0,331,33,0
"Alabama","Elmore",2022,240,232,8,0,0,0,0,74,44,33,0,0,240,0,0
"Alabama","Etowah",2022,359,294,65,0,0,0,0,93,55,39,0,0,141,218,0
"Alabama","Jefferson",2022,365,198,165,2,0,0,0,105,71,49,0,0,126,239,0
"Alabama","Lawrence",2022,102,98,4,0,0,0,0,53,36,22,0,0,0,102,0
"Alabama","Madison",2022,365,289,76,0,0,0,0,97,57,40,0,0,140,221,4
"Alabama","Mobile",2022,363,313,50,0,0,0,0,93,54,37,0,0,165,198,0
"Alabama","Montgomery",2022,363,319,44,0,0,0,0,95,53,37,0,0,204,159,0
"Alabama","Morgan",2022,365,289,75,1,0,0,0,111,58,40,0,0,142,223,0
"Alabama","Russell",2022,364,297,67,0,0,0,0,96,57,40,0,0,141,223,0
"Alabama","Shelby",2022,245,225,19,1,0,0,0,105,50,37,0,0,245,0,0
"Alabama","Sumter",2022,355,325,30,0,0,0,0,79,49,33,0,0,131,224,0
"Alabama","Tuscaloosa",2022,280,253,27,0,0,0,0,87,50,34,0,0,206,74,0
"Alaska","Aleutians East ",2022,121,120,1,0,0,0,0,71,20,9,0,0,0,121,0
"Alaska","Anchorage ",2022,365,323,41,1,0,0,0,125,54,19,7,0,0,173,185
"Alaska","Denali ",2022,338,330,8,0,0,0,0,80,44,34,0,0,319,19,0
"Alaska","Fairbanks North Star ",2022,365,239,79,18,28,1,0,280,118,38,0,0,131,230,4
"Alaska","Juneau ",2022,342,308,34,0,0,0,0,95,50,15,0,0,0,341,1
"Alaska","Kenai Peninsula ",2022,120,119,1,0,0,0,0,70,16,7,0,0,0,120,0
"Alaska","Matanuska-Susitna ",2022,341,307,34,0,0,0,0,88,49,10,0,0,0,223,118
"Alaska","North Slope ",2022,100,97,2,0,1,0,0,165,14,5,0,0,0,100,0
"Arizona","Apache",2022,363,361,2,0,0,0,0,57,26,11,0,0,0,36,327
"Arizona","Cochise",2022,365,291,73,1,0,0,0,101,61,44,0,0,332,1,32
"Arizona","Coconino",2022,365,283,81,1,0,0,0,101,64,44,0,0,362,3,0
"Arizona","Gila",2022,365,246,101,16,2,0,0,177,84,45,0,0,340,0,25
"Arizona","La Paz",2022,359,279,79,1,0,0,0,130,64,44,0,0,340,5,14
"Arizona","Maricopa",2022,365,42,227,73,17,6,0,264,136,74,0,1,217,64,83
"Arizona","Mohave",2022,357,340,16,1,0,0,0,115,32,17,0,0,0,0,357
"Arizona","Navajo",2022,364,307,57,0,0,0,0,93,58,43,0,0,360,1,3
"Arizona","Pima",2022,365,189,163,13,0,0,0,142,81,50,0,0,240,46,79
"Arizona","Pinal",2022,365,107,225,30,1,0,2,670,100,61,0,0,152,19,194
"Arizona","Santa Cruz",2022,357,273,83,1,0,0,0,138,66,34,0,0,0,254,103
"Arizona","Yavapai",2022,365,341,24,0,0,0,0,87,48,40,0,0,365,0,0
"Arizona","Yuma",2022,365,251,105,9,0,0,0,142,73,44,0,0,236,40,89
"Arkansas","Arkansas",2022,115,100,15,0,0,0,0,88,54,30,0,0,0,115,0
"Arkansas","Ashley",2022,117,106,11,0,0,0,0,99,50,29,0,0,0,117,0
"Arkansas","Clark",2022,363,350,13,0,0,0,0,90,46,35,0,0,363,0,0
"Arkansas","Crittenden",2022,365,291,70,3,1,0,0,156,63,40,0,9,200,156,0
"Arkansas","Garland",2022,112,99,13,0,0,0,0,89,53,33,0,0,0,112,0
"Arkansas","Jackson",2022,115,97,18,0,0,0,0,79,55,30,0,0,0,115,0
"Arkansas","Newton",2022,365,343,21,1,0,0,0,105,48,37,0,0,353,12,0
"Arkansas","Polk",2022,350,329,19,2,0,0,0,105,48,33,0,0,282,68,0
"Arkansas","Pulaski",2022,365,251,113,1,0,0,0,115,64,43,0,4,136,225,0
"Arkansas","Union",2022,115,92,23,0,0,0,0,100,56,35,0,0,0,115,0
"Arkansas","Washington",2022,365,296,66,3,0,0,0,119,59,43,0,0,258,107,0
"California","Alameda",2022,365,245,115,5,0,0,0,122,67,41,0,5,196,164,0
"California","Amador",2022,364,333,30,1,0,0,0,112,50,36,0,0,364,0,0
"California","Butte",2022,365,225,137,3,0,0,0,119,75,46,0,0,268,97,0
"California","Calaveras",2022,364,315,48,1,0,0,0,115,53,39,0,0,272,90,2
"California","Colusa",2022,363,300,62,1,0,0,0,105,55,41,0,0,227,123,13
"California","Contra Costa",2022,365,256,107,2,0,0,0,129,64,43,0,0,191,174,0
"California","Del Norte",2022,344,322,22,0,0,0,0,70,41,22,0,0,0,344,0
"California","El Dorado",2022,365,260,91,12,2,0,0,177,77,43,0,0,356,5,4
"California","Fresno",2022,365,97,198,67,3,0,0,159,115,71,0,1,215,133,16
"California","Glenn",2022,360,291,68,1,0,0,0,104,60,41,0,0,284,67,9
"California","Humboldt",2022,365,349,16,0,0,0,0,70,33,24,1,0,244,57,63
"California","Imperial",2022,365,114,204,34,5,2,6,762,106,58,0,4,157,72,132
"California","Inyo",2022,365,140,194,18,4,4,5,1445,97,57,0,0,210,105,50
"California","Kern",2022,365,65,178,109,12,1,0,289,136,80,0,0,212,124,29
"California","Kings",2022,365,90,225,48,2,0,0,187,108,67,0,0,180,127,58
"California","Lake",2022,363,362,1,0,0,0,0,73,43,32,0,0,355,8,0
"California","Los Angeles",2022,365,40,231,65,28,1,0,209,140,72,0,37,190,128,10
"California","Madera",2022,365,171,181,13,0,0,0,136,87,51,0,0,231,103,31
"California","Marin",2022,365,326,39,0,0,0,0,90,52,33,0,4,215,146,0
"California","Mariposa",2022,365,227,109,8,21,0,0,185,88,46,0,0,304,60,1
"California","Mendocino",2022,365,216,147,2,0,0,0,103,65,45,0,0,79,286,0
"California","Merced",2022,365,168,184,13,0,0,0,143,86,52,0,0,214,116,35
"California","Mono",2022,365,296,41,5,7,1,15,7577,65,21,0,0,0,204,161
"California","Monterey",2022,365,337,28,0,0,0,0,77,49,37,0,0,261,72,32
"California","Nevada",2022,365,215,132,12,4,2,0,268,87,48,0,0,303,62,0
